Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-01-2016, M, 20.17, 5222629.00, 52.25
Andhra Pradesh, 29-02-2016, M, 9.73, 5455744.00, 48.18
Andhra Pradesh, 31-03-2016, M, 15.63, 5332391.00, 50.27
Andhra Pradesh, 30-04-2016, M, 9.68, 4883600.00, 42.92
Andhra Pradesh, 31-05-2016, M, 7.34, 5289416.00, 45.22
Andhra Pradesh, 30-06-2016, M, 6.75, 5424851.00, 45.99
Andhra Pradesh, 31-07-2016, M, 4.58, 5321627.00, 43.99
Andhra Pradesh, 31-08-2016, M, 6.58, 5267750.00, 44.38
Andhra Pradesh, 30-09-2016, M, 5.10, 5294733.00, 43.82
Andhra Pradesh, 31-10-2016, M, 7.32, 5442483.00, 46.03
Andhra Pradesh, 30-11-2016, M, 6.15, 5288710.00, 44.08
Andhra Pradesh, 31-12-2016, M, 6.10, 5072994.00, 42.17
Andhra Pradesh, 31-01-2017, M, 5.81, 5074657.00, 41.97
Andhra Pradesh, 28-02-2017, M, 4.54, 5237230.00, 42.65
Andhra Pradesh, 31-03-2017, M, 3.80, 5038325.00, 40.63
Andhra Pradesh, 30-04-2017, M, 5.49, 5030573.00, 41.21
Andhra Pradesh, 31-05-2017, M, 3.85, 4884441.00, 39.24
Andhra Pradesh, 30-06-2017, M, 3.36, 5116921.00, 40.82
Andhra Pradesh, 31-07-2017, M, 3.04, 4980708.00, 39.51
Andhra Pradesh, 31-08-2017, M, 5.73, 5025117.00, 40.92
Andhra Pradesh, 30-09-2017, M, 8.44, 4911744.00, 41.09
Andhra Pradesh, 31-10-2017, M, 4.81, 5102145.00, 40.97
Andhra Pradesh, 30-11-2017, M, 3.65, 5171081.00, 40.94
Andhra Pradesh, 31-12-2017, M, 5.47, 5048139.00, 40.65
Andhra Pradesh, 31-01-2018, M, 8.36, 4885199.00, 40.49
Andhra Pradesh, 28-02-2018, M, 2.98, 5154258.00, 40.27
Andhra Pradesh, 31-03-2018, M, 4.36, 4664347.00, 36.89
Andhra Pradesh, 30-04-2018, M, 5.66, 4942795.00, 39.55
Andhra Pradesh, 31-05-2018, M, 4.94, 4769645.00, 37.79
Andhra Pradesh, 30-06-2018, M, 3.86, 4946759.00, 38.68
Andhra Pradesh, 31-07-2018, M, 5.21, 4802044.00, 38.00
Andhra Pradesh, 31-08-2018, M, 5.09, 4908850.00, 38.72
Andhra Pradesh, 30-09-2018, M, 6.96, 4757407.00, 38.19
Andhra Pradesh, 31-10-2018, M, 5.15, 4723182.00, 37.12
Andhra Pradesh, 30-11-2018, M, 6.65, 4772311.00, 38.02
Andhra Pradesh, 31-12-2018, M, 4.96, 4872260.00, 38.05
Andhra Pradesh, 31-01-2019, M, 6.63, 4776973.00, 37.89
Andhra Pradesh, 28-02-2019, M, 5.78, 4863514.00, 38.16
Andhra Pradesh, 31-03-2019, M, 5.69, 4719019.00, 36.91
Andhra Pradesh, 30-04-2019, M, 5.23, 4717161.00, 36.64
Andhra Pradesh, 31-05-2019, M, 6.09, 4788660.00, 37.45
Andhra Pradesh, 30-06-2019, M, 3.80, 4824628.00, 36.76
Andhra Pradesh, 31-07-2019, M, 5.64, 4657440.00, 36.10
Andhra Pradesh, 31-08-2019, M, 4.61, 4743180.00, 36.29
Andhra Pradesh, 30-09-2019, M, 6.01, 4733997.00, 36.69
Andhra Pradesh, 31-10-2019, M, 4.70, 4774376.00, 36.41
Andhra Pradesh, 30-11-2019, M, 7.54, 4668774.00, 36.62
Andhra Pradesh, 31-12-2019, M, 7.88, 4913964.00, 38.61
Andhra Pradesh, 31-01-2020, M, 7.11, 4618860.00, 35.91
Andhra Pradesh, 29-02-2020, M, 5.66, 4822035.00, 36.84
Andhra Pradesh, 31-03-2020, M, 9.88, 4521537.00, 36.08
Andhra Pradesh, 30-04-2020, M, 32.30, 2544084.00, 26.97
Andhra Pradesh, 31-05-2020, M, 24.64, 3461943.00, 32.90
Andhra Pradesh, 30-06-2020, M, 5.85, 4949821.00, 37.57
Andhra Pradesh, 31-07-2020, M, 9.81, 4158752.00, 32.88
Andhra Pradesh, 31-08-2020, M, 9.54, 4489404.00, 35.31
Andhra Pradesh, 30-09-2020, M, 8.68, 4402925.00, 34.24
Andhra Pradesh, 31-10-2020, M, 6.82, 4650193.00, 35.36
Andhra Pradesh, 30-11-2020, M, 9.14, 4344411.00, 33.81
Andhra Pradesh, 31-12-2020, M, 7.20, 4616157.00, 35.10
Andhra Pradesh, 31-01-2021, M, 8.07, 4739467.00, 36.30
Andhra Pradesh, 28-02-2021, M, 5.13, 5000444.00, 37.04
Andhra Pradesh, 31-03-2021, M, 7.04, 4622009.00, 34.86
Andhra Pradesh, 30-04-2021, M, 8.06, 4589629.00, 34.93
Andhra Pradesh, 31-05-2021, M, 11.06, 4454981.00, 34.97
Andhra Pradesh, 30-06-2021, M, 7.34, 4748562.00, 35.70
Andhra Pradesh, 31-07-2021, M, 8.09, 4612221.00, 34.89
Andhra Pradesh, 31-08-2021, M, 8.23, 4635550.00, 35.04
Andhra Pradesh, 30-09-2021, M, 8.12, 4712703.00, 35.51
Assam, 31-01-2016, M, 6.33, 1529922.00, 43.76
Assam, 29-02-2016, M, 9.06, 1525023.00, 44.85
Assam, 31-03-2016, M, 5.17, 1549321.00, 43.61
Assam, 30-04-2016, M, 4.27, 1463823.00, 40.73
Assam, 31-05-2016, M, 4.75, 1531985.00, 42.76
Assam, 30-06-2016, M, 5.79, 1500608.00, 42.27
Assam, 31-07-2016, M, 7.14, 1422857.00, 40.58
Assam, 31-08-2016, M, 13.01, 1398425.00, 42.49
Assam, 30-09-2016, M, 9.57, 1571843.00, 45.85
Assam, 31-10-2016, M, 10.51, 1499277.00, 44.11
Assam, 30-11-2016, M, 3.39, 1583464.00, 43.07
Assam, 31-12-2016, M, 5.78, 1483416.00, 41.28
Assam, 31-01-2017, M, 5.90, 1520605.00, 42.29
Assam, 28-02-2017, M, 10.08, 1580275.00, 45.91
Assam, 30-04-2017, M, 1.76, 1522277.00, 40.32
Assam, 31-05-2017, M, 7.50, 1536237.00, 43.13
Assam, 30-06-2017, M, 9.66, 1631643.00, 46.81
Assam, 31-07-2017, M, 11.67, 1495704.00, 43.80
Assam, 31-08-2017, M, 8.70, 1586713.00, 44.86
Assam, 30-09-2017, M, 6.62, 1554968.00, 42.90
Assam, 31-10-2017, M, 17.88, 1608300.00, 50.35
Assam, 30-11-2017, M, 15.62, 1471621.00, 44.76
Assam, 31-12-2017, M, 7.83, 1432752.00, 39.81
Assam, 31-01-2018, M, 4.13, 1634418.00, 43.57
Assam, 28-02-2018, M, 15.77, 1665831.00, 50.45
Assam, 31-03-2018, M, 8.00, 1613272.00, 44.64
Assam, 30-04-2018, M, 13.26, 1647738.00, 48.27
Assam, 31-05-2018, M, 4.45, 1664302.00, 44.17
Assam, 30-06-2018, M, 15.61, 1641282.00, 49.22
Assam, 31-07-2018, M, 10.89, 1542648.00, 43.72
